"clock_model","delta_pulse_score_treepl_minus_chronos","delta_burst_loss_treepl_minus_chronos","delta_tempo_composite_treepl_minus_chronos","delta_mae_mean30_treepl_minus_chronos","delta_rate_irregularity_treepl_minus_chronos","delta_log_rate_sd_treepl_minus_chronos","delta_parent_child_jump_mean_treepl_minus_chronos","delta_extreme_rate_frac_treepl_minus_chronos"
"autocorrelated",-0.0526692329880592,0.0798146229716389,0.0690559532462972,3.27359509879001,0.403094932004364,0.00786562977784141,0.113906888383431,0.029082774049217
"discrete",-0.100332462307953,0.161015037957216,0.0828675708572215,0.657072633743001,0.373246264880281,0.0503895713836692,0.0828498162452178,0.0218120805369128
"independent",-0.0786888124441578,0.12472499147116,0.0778953338226692,0.696330413678145,0.287826397415627,0.0662796045530567,0.069711375350139,0.0206935123042506
"strict",-0.154340201154007,0.22751606097794,0.144523527053373,1.08468159002986,-0.34538924637607,0.156181044182038,0.0729970864438566,0.0352348993288591
