"method","pulse_score","pulse_error","burst_loss","tempo_composite","mae_mean_30reps","rate_irregularity","log_rate_sd","parent_child_jump_mean","extreme_rate_frac"
"chronos",0.953867377087285,0.052020653410806,0.0637183616267757,0.0493042601559842,0.496559650817412,0.759295143691263,0.160935946390787,0.0744889286091415,0.0457214765100671
"treePL",0.857359699863741,0.171361030981547,0.211986039971265,0.142889856400874,1.92447958487767,0.938989730672313,0.231114908864939,0.159355220214803,0.072427293064877
