"group","n_total","n_all_methods","treePL_mean","chronos_mean","treePL_win_rate","chronos_win_rate"
"0.05",360,341,1.28760933312406,0.0884904955189028,0,1
"0.25",360,294,2.41880461534082,0.904628806115921,0.261904761904762,0.738095238095238
