"group","n_total","n_all_methods","treePL_mean","chronos_mean","treePL_win_rate","chronos_win_rate"
"autocorrelated",180,136,4.16753443575867,0.914948370078763,0.125,0.875
"discrete",180,159,1.29796262993161,0.630938386071857,0.226415094339623,0.773584905660377
"independent",180,160,1.1316692286694,0.436280539948346,0.15,0.85
"strict",180,180,1.08875289720054,0.00407130717068063,0,1
